depth,density,mag_suscep,scaler_tmi,total_gamma,caliper,lithology
251.5,2.188,1.256,302.969,51.605,106.03,polymict lithic breccia
252,2.223,1.266,321.12,49.975,105.702,polymict lithic breccia
252.5,2.301,1.276,339.272,48.344,105.374,polymict lithic breccia
253,2.326,1.285,386.919,45.244,105.512,polymict lithic breccia
253.5,2.351,1.274,434.566,45.86,105.65,polymict lithic breccia
254,2.373,1.264,482.213,46.475,105.788,polymict lithic breccia
254.5,2.396,1.243,518.515,47.091,105.926,polymict lithic breccia
255,2.492,1.222,554.818,47.706,106.063,polymict lithic breccia
255.5,2.54,1.193,591.12,48.322,106.201,polymict lithic breccia
256,2.588,1.164,618.347,48.937,106.531,polymict lithic breccia
256.5,2.571,1.148,645.574,49.553,106.86,polymict lithic breccia
257,2.554,1.131,672.801,50.349,107.18,polymict lithic breccia
257.5,2.537,1.121,656.919,51.146,107.5,polymict lithic breccia
258,2.477,1.111,641.036,51.942,107.521,polymict lithic breccia
258.5,2.418,1.101,625.154,53.953,107.542,polymict lithic breccia
259,2.402,1.11,555.574,55.964,107.564,polymict lithic breccia
259.5,2.386,1.119,485.994,58.874,107.56,suevite
260,2.289,1.126,416.415,61.785,107.556,suevite
260.5,2.297,1.133,604.734,61.094,107.552,suevite
261,2.288,1.14,567.297,60.402,107.54,suevite
261.5,2.279,1.147,529.86,59.711,107.527,suevite
262,2.27,1.158,437.969,56.826,109.189,suevite
262.5,2.261,1.168,346.078,51.842,109.124,polymict lithic breccia
263,2.251,1.178,312.045,56.346,109.059,polymict lithic breccia
263.5,2.301,1.181,278.011,42.858,108.994,shale slate phyllite schist
264,2.35,1.184,243.978,43.074,108.928,shale slate phyllite schist
264.5,2.42,1.187,26.162,43.29,107.394,shale slate phyllite schist
265,2.478,1.159,-69.132,43.506,105.6,shale slate phyllite schist
265.5,2.512,1.131,-164.426,42.895,105.004,shale slate phyllite schist
266,2.546,1.083,-259.72,42.284,104.409,shale slate phyllite schist
266.5,2.565,1.08,-184.846,41.672,104.376,shale slate phyllite schist
267,2.585,1.077,-109.972,41.79,104.342,shale slate phyllite schist
267.5,2.601,1.073,-7.871,41.907,104.309,shale slate phyllite schist
